Lab 11: Working with Raster Data - Part 2 Answers
Mason Harris
04/23/19

Exercise 1: In ArcMap
Mean - 27.36
Standard Deviation - 1.22
Sample Size - 34606


OBJECTID,pointid,grid_code,POINT_X,POINT_Y
1,1,21.4750004,-90.509918212890625,30.285503387451172
2,2,21.4750004,-90.468246459960937,30.285503387451172
3,3,21.4699993,-90.426574707031250,30.285503387451172
4,4,21.0900002,-90.259887695312500,30.285503387451172
5,5,21.0900002,-90.218215942382813,30.285503387451172
6,6,23.4249992,-89.093078613281250,30.285503387451172
7,7,23.4699993,-89.051406860351563,30.285503387451172
8,8,23.5749989,-89.009735107421875,30.285503387451172
9,9,23.5499992,-88.968063354492188,30.285503387451172
10,10,23.3949986,-88.926391601562443,30.285503387451172
11,11,23.4099998,-88.884719848632756,30.285503387451172
12,12,23.5499992,-88.843048095703068,30.285503387451172
13,13,23.3799992,-88.801376342773381,30.285503387451172
14,14,23.3799992,-88.759704589843693,30.285503387451172
15,15,23.4499989,-88.718032836914006,30.285503387451172
16,16,23.4849987,-88.676361083984318,30.285503387451172
17,17,23.4650002,-88.634689331054631,30.285503387451172
18,18,23.4549999,-88.593017578124943,30.285503387451172
19,19,23.2849998,-88.551345825195199,30.285503387451172
20,20,23.3349991,-88.509674072265511,30.285503387451172
21,21,23.1700001,-88.468002319335937,30.285503387451172
22,22,23.2649994,-88.426330566406250,30.285503387451172
23,23,23.3099995,-88.384658813476562,30.285503387451172
24,24,23.2399998,-88.342987060546875,30.285503387451172
25,25,23.1299992,-88.301315307617188,30.285503387451172
26,26,23.0249996,-88.259643554687500,30.285503387451172
27,27,23.6099987,-88.092956542968750,30.285503387451172
28,28,23.4799995,-88.051284790039063,30.285503387451172
29,29,23.3850002,-88.009613037109375,30.285503387451172
30,30,23.1499996,-87.967941284179688,30.285503387451172
31,31,23.0699997,-87.926269531250000,30.285503387451172
32,32,23.1899986,-87.884597778320256,30.285503387451172
33,33,23.1499996,-87.842926025390568,30.285503387451172
34,34,23.1250000,-87.801254272460881,30.285503387451172
35,35,22.9099998,-87.759582519531193,30.285503387451172
36,36,25.2549992,-87.551223754882756,30.285503387451172
37,37,25.2549992,-87.509552001953011,30.285503387451172
38,38,25.3699989,-87.467880249023324,30.285503387451172
39,39,25.3750000,-87.426208496093750,30.285503387451172
40,40,25.4300003,-87.384536743164062,30.285503387451172
41,41,25.1449986,-87.342864990234375,30.285503387451172
42,42,25.1049995,-87.301193237304688,30.285503387451172
43,43,25.8949986,-87.259521484375000,30.285503387451172
44,44,26.2049999,-87.217849731445313,30.285503387451172
45,45,25.9449997,-87.176177978515625,30.285503387451172
46,46,26.1299992,-87.134506225585938,30.285503387451172
47,47,26.1199989,-87.092834472656250,30.285503387451172
48,48,26.0900002,-87.051162719726563,30.285503387451172
49,49,26.0699997,-87.009490966796875,30.285503387451172
50,50,26.0799999,-86.967819213867188,30.285503387451172
51,51,26.0299988,-86.926147460937500,30.285503387451172
52,52,26.0450001,-86.884475708007813,30.285503387451172
53,53,26.0949993,-86.842803955078068,30.285503387451172
54,54,26.1549988,-86.801132202148381,30.285503387451172
55,55,26.1800003,-86.759460449218693,30.285503387451172
56,56,26.2150002,-86.717788696289006,30.285503387451172
57,57,26.1099987,-86.676116943359318,30.285503387451172
58,58,26.0499992,-86.634445190429631,30.285503387451172
59,59,26.0000000,-86.592773437499943,30.285503387451172
60,60,25.9599991,-86.551101684570256,30.285503387451172
61,61,25.9650002,-86.509429931640568,30.285503387451172
62,62,26.0049992,-86.467758178710824,30.285503387451172
63,63,26.0349998,-86.426086425781136,30.285503387451172
64,64,26.0199986,-86.384414672851562,30.285503387451172
65,65,26.0149994,-86.342742919921875,30.285503387451172
66,66,25.9300003,-86.301071166992188,30.285503387451172
67,67,25.8799992,-86.259399414062500,30.285503387451172
68,68,25.8499985,-86.217727661132813,30.285503387451172
69,69,25.8050003,-86.176055908203125,30.285503387451172
70,70,25.7999992,-86.134384155273438,30.285503387451172
71,71,25.8850002,-86.092712402343750,30.285503387451172
72,72,25.8949986,-86.051040649414063,30.285503387451172
73,73,25.9099998,-86.009368896484375,30.285503387451172
74,74,24.7250004,-81.675506591796875,30.285503387451172
75,75,24.7250004,-81.633834838867131,30.285503387451172
76,76,24.7799988,-81.383804321289006,30.285503387451172
77,77,24.8549995,-81.342132568359318,30.285503387451172
78,78,25.0450001,-81.300460815429631,30.285503387451172
79,79,25.4249992,-81.258789062499886,30.285503387451172
80,80,25.6999989,-81.217117309570199,30.285503387451172
81,81,25.7249985,-81.175445556640625,30.285503387451172
82,82,25.7749996,-81.133773803710938,30.285503387451172
83,83,25.7899990,-81.092102050781250,30.285503387451172
84,84,25.8199997,-81.050430297851562,30.285503387451172
85,85,25.8599987,-81.008758544921875,30.285503387451172
86,86,25.9099998,-80.967086791992188,30.285503387451172
87,87,26.0149994,-80.925415039062500,30.285503387451172
88,88,26.0499992,-80.883743286132813,30.285503387451172
89,89,26.0550003,-80.842071533203125,30.285503387451172
90,90,26.0999985,-80.800399780273438,30.285503387451172
91,91,26.1700001,-80.758728027343750,30.285503387451172
92,92,26.2249985,-80.717056274414063,30.285503387451172
93,93,26.2999992,-80.675384521484375,30.285503387451172
94,94,26.3449993,-80.633712768554688,30.285503387451172
95,95,26.3899994,-80.592041015624943,30.285503387451172
96,96,26.4899998,-80.550369262695256,30.285503387451172
97,97,26.6049995,-80.508697509765568,30.285503387451172
98,98,26.8149986,-80.467025756835881,30.285503387451172
99,99,27.1099987,-80.425354003906193,30.285503387451172
100,100,27.3499985,-80.383682250976506,30.285503387451172
101,101,27.6049995,-80.342010498046818,30.285503387451172
102,102,28.0699997,-80.300338745117131,30.285503387451172
103,103,28.3649998,-80.258666992187443,30.285503387451172
104,104,21.4699993,-90.509918212890625,30.243831634521598
105,105,21.4750004,-90.468246459960937,30.243831634521598
106,106,21.4699993,-90.426574707031250,30.243831634521598
107,107,21.0900002,-90.259887695312500,30.243831634521598
108,108,21.0900002,-90.218215942382813,30.243831634521598
109,109,21.8500004,-89.093078613281250,30.243831634521598
110,110,23.4699993,-89.051406860351563,30.243831634521598
111,111,23.4699993,-89.009735107421875,30.243831634521598
112,112,23.4699993,-88.968063354492188,30.243831634521598
113,113,23.4249992,-88.926391601562443,30.243831634521598
114,114,23.5100002,-88.884719848632756,30.243831634521598
115,115,23.7849998,-88.843048095703068,30.243831634521598
116,116,23.7049999,-88.801376342773381,30.243831634521598
117,117,23.6250000,-88.759704589843693,30.243831634521598
118,118,23.6499996,-88.718032836914006,30.243831634521598
119,119,23.7049999,-88.676361083984318,30.243831634521598
120,120,23.8050003,-88.634689331054631,30.243831634521598
121,121,23.8400002,-88.593017578124943,30.243831634521598
122,122,23.7299995,-88.551345825195199,30.243831634521598
123,123,23.6499996,-88.509674072265511,30.243831634521598
124,124,23.6399994,-88.468002319335937,30.243831634521598
125,125,23.6199989,-88.426330566406250,30.243831634521598
126,126,23.4949989,-88.384658813476562,30.243831634521598
127,127,23.2899990,-88.342987060546875,30.243831634521598
128,128,23.1449986,-88.301315307617188,30.243831634521598
129,129,23.1449986,-88.259643554687500,30.243831634521598
130,130,23.7600002,-88.092956542968750,30.243831634521598
131,131,23.6049995,-88.051284790039063,30.243831634521598
132,132,23.6049995,-88.009613037109375,30.243831634521598
133,133,23.1999989,-87.967941284179688,30.243831634521598
134,134,23.1899986,-87.926269531250000,30.243831634521598
135,135,23.2299995,-87.884597778320256,30.243831634521598
136,136,23.1449986,-87.842926025390568,30.243831634521598
137,137,22.9949989,-87.801254272460881,30.243831634521598
138,138,25.2549992,-87.551223754882756,30.243831634521598
139,139,25.2549992,-87.509552001953011,30.243831634521598
140,140,25.3699989,-87.467880249023324,30.243831634521598
141,141,25.3750000,-87.426208496093750,30.243831634521598
142,142,25.4300003,-87.384536743164062,30.243831634521598
143,143,25.1449986,-87.342864990234375,30.243831634521598
144,144,25.1049995,-87.301193237304688,30.243831634521598
145,145,25.8949986,-87.259521484375000,30.243831634521598
146,146,26.2049999,-87.217849731445313,30.243831634521598
147,147,26.1599998,-87.176177978515625,30.243831634521598
148,148,26.1949997,-87.134506225585938,30.243831634521598
149,149,26.1599998,-87.092834472656250,30.243831634521598
150,150,26.1499996,-87.051162719726563,30.243831634521598
151,151,26.1350002,-87.009490966796875,30.243831634521598
152,152,26.1250000,-86.967819213867188,30.243831634521598
153,153,26.1250000,-86.926147460937500,30.243831634521598
154,154,26.1449986,-86.884475708007813,30.243831634521598
155,155,26.1849995,-86.842803955078068,30.243831634521598
156,156,26.2500000,-86.801132202148381,30.243831634521598
157,157,26.2099991,-86.759460449218693,30.243831634521598
158,158,26.1849995,-86.717788696289006,30.243831634521598
159,159,26.1549988,-86.676116943359318,30.243831634521598
160,160,26.1299992,-86.634445190429631,30.243831634521598
161,161,26.1350002,-86.592773437499943,30.243831634521598
162,162,26.1749992,-86.551101684570256,30.243831634521598
163,163,26.2449989,-86.509429931640568,30.243831634521598
164,164,26.3050003,-86.467758178710824,30.243831634521598
165,165,26.3199997,-86.426086425781136,30.243831634521598
166,166,26.3699989,-86.384414672851562,30.243831634521598
167,167,26.3299999,-86.342742919921875,30.243831634521598
168,168,26.2600002,-86.301071166992188,30.243831634521598
169,169,26.1899986,-86.259399414062500,30.243831634521598
170,170,26.1099987,-86.217727661132813,30.243831634521598
171,171,25.9849987,-86.176055908203125,30.243831634521598
172,172,25.9200001,-86.134384155273438,30.243831634521598
173,173,25.8850002,-86.092712402343750,30.243831634521598
174,174,25.8949986,-86.051040649414063,30.243831634521598
175,175,25.9099998,-86.009368896484375,30.243831634521598
176,176,24.7250004,-81.675506591796875,30.243831634521598
177,177,24.7250004,-81.633834838867131,30.243831634521598
178,178,24.8799992,-81.383804321289006,30.243831634521598
179,179,24.9449997,-81.342132568359318,30.243831634521598
180,180,25.1849995,-81.300460815429631,30.243831634521598
181,181,25.5000000,-81.258789062499886,30.243831634521598
182,182,25.6299992,-81.217117309570199,30.243831634521598
183,183,25.7799988,-81.175445556640625,30.243831634521598
184,184,25.7950001,-81.133773803710938,30.243831634521598
185,185,25.7699986,-81.092102050781250,30.243831634521598
186,186,25.8099995,-81.050430297851562,30.243831634521598
187,187,25.8949986,-81.008758544921875,30.243831634521598
188,188,25.9749985,-80.967086791992188,30.243831634521598
189,189,26.0550003,-80.925415039062500,30.243831634521598
190,190,26.1049995,-80.883743286132813,30.243831634521598
191,191,26.1599998,-80.842071533203125,30.243831634521598
192,192,26.2150002,-80.800399780273438,30.243831634521598
193,193,26.2399998,-80.758728027343750,30.243831634521598
194,194,26.2449989,-80.717056274414063,30.243831634521598
195,195,26.2749996,-80.675384521484375,30.243831634521598
196,196,26.3850002,-80.633712768554688,30.243831634521598
197,197,26.4650002,-80.592041015624943,30.243831634521598
198,198,26.5599995,-80.550369262695256,30.243831634521598
199,199,26.6949997,-80.508697509765568,30.243831634521598
200,200,26.9300003,-80.467025756835881,30.243831634521598
201,201,27.2249985,-80.425354003906193,30.243831634521598
202,202,27.4300003,-80.383682250976506,30.243831634521598
203,203,27.7399998,-80.342010498046818,30.243831634521598
204,204,28.0699997,-80.300338745117131,30.243831634521598
205,205,28.2549992,-80.258666992187443,30.243831634521598
206,206,23.1449986,-90.259887695312500,30.202159881591854
207,207,23.1449986,-90.218215942382813,30.202159881591854
208,208,23.0349998,-90.176544189453125,30.202159881591854
209,209,23.0249996,-90.134872436523438,30.202159881591854
210,210,23.6299992,-89.384780883789063,30.202159881591854
211,211,23.5699997,-89.343109130859375,30.202159881591854
212,212,23.2500000,-89.301437377929688,30.202159881591854
213,213,23.3400002,-89.259765625000000,30.202159881591854
214,214,23.1999989,-89.218093872070313,30.202159881591854
215,215,22.9799995,-89.176422119140625,30.202159881591854
216,216,22.8850002,-89.134750366210938,30.202159881591854
217,217,21.7700005,-89.093078613281250,30.202159881591854
218,218,23.3500004,-89.051406860351563,30.202159881591854
219,219,23.3500004,-89.009735107421875,30.202159881591854
220,220,23.5249996,-88.968063354492188,30.202159881591854
221,221,23.4949989,-88.926391601562443,30.202159881591854
222,222,23.4899998,-88.884719848632756,30.202159881591854
223,223,24.2899990,-88.843048095703068,30.202159881591854
224,224,24.4799995,-88.801376342773381,30.202159881591854
225,225,24.9249992,-88.759704589843693,30.202159881591854
226,226,24.9200001,-88.718032836914006,30.202159881591854
227,227,24.8099995,-88.676361083984318,30.202159881591854
228,228,24.8050003,-88.634689331054631,30.202159881591854
229,229,23.8549995,-88.593017578124943,30.202159881591854
230,230,23.7699986,-88.551345825195199,30.202159881591854
231,231,23.7150002,-88.509674072265511,30.202159881591854
232,232,23.7399998,-88.468002319335937,30.202159881591854
233,233,23.8699989,-88.426330566406250,30.202159881591854
234,234,23.8050003,-88.384658813476562,30.202159881591854
235,235,24.0149994,-88.342987060546875,30.202159881591854
236,236,24.0349998,-88.301315307617188,30.202159881591854
237,237,24.2549992,-88.176300048828125,30.202159881591854
238,238,24.2649994,-88.134628295898438,30.202159881591854
239,239,24.2999992,-88.092956542968750,30.202159881591854
240,240,24.1000004,-88.051284790039063,30.202159881591854
241,241,23.8149986,-88.009613037109375,30.202159881591854
242,242,23.6099987,-87.967941284179688,30.202159881591854
243,243,24.4949989,-87.926269531250000,30.202159881591854
244,244,25.3949986,-87.884597778320256,30.202159881591854
245,245,25.0900002,-87.717910766601506,30.202159881591854
246,246,25.2500000,-87.676239013671818,30.202159881591854
247,247,25.4449997,-87.634567260742131,30.202159881591854
248,248,25.5249996,-87.592895507812443,30.202159881591854
249,249,25.5450001,-87.551223754882756,30.202159881591854
250,250,25.9300003,-87.509552001953011,30.202159881591854
251,251,25.8599987,-87.467880249023324,30.202159881591854
252,252,25.7150002,-87.426208496093750,30.202159881591854
253,253,25.7950001,-87.384536743164062,30.202159881591854
254,254,25.9899998,-87.342864990234375,30.202159881591854
255,255,26.2500000,-87.301193237304688,30.202159881591854
256,256,26.3549995,-87.259521484375000,30.202159881591854
257,257,26.4399986,-87.217849731445313,30.202159881591854
258,258,26.4399986,-87.176177978515625,30.202159881591854
259,259,26.3249989,-87.134506225585938,30.202159881591854
260,260,26.2449989,-87.092834472656250,30.202159881591854
261,261,26.1849995,-87.051162719726563,30.202159881591854
262,262,26.1899986,-87.009490966796875,30.202159881591854
263,263,26.2199993,-86.967819213867188,30.202159881591854
264,264,26.2549992,-86.926147460937500,30.202159881591854
265,265,26.3249989,-86.884475708007813,30.202159881591854
266,266,26.4249992,-86.842803955078068,30.202159881591854
267,267,26.4249992,-86.801132202148381,30.202159881591854
268,268,26.3499985,-86.759460449218693,30.202159881591854
269,269,26.2749996,-86.717788696289006,30.202159881591854
270,270,26.2500000,-86.676116943359318,30.202159881591854
271,271,26.2799988,-86.634445190429631,30.202159881591854
272,272,26.3299999,-86.592773437499943,30.202159881591854
273,273,26.3349991,-86.551101684570256,30.202159881591854
274,274,26.3649998,-86.509429931640568,30.202159881591854
